"year","geoid","name","geography_level","road_rage_incidents","road_rage_shootings","victims_killed","victims_injured","victims_shot","suspects_killed","suspects_injured","suspects_shot","total_killed","total_injured","total_shot","incident_rate_100k","shooting_rate_100k","population","state_code","region","division"
2024,45060,"Syracuse, NY","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,655189,"NA","NA","NA"
2020,45140,"Tahlequah, OK","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,47090,"NA","NA","NA"
2021,45140,"Tahlequah, OK","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,47631,"NA","NA","NA"
2022,45140,"Tahlequah, OK","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,48098,"NA","NA","NA"
2023,45140,"Tahlequah, OK","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,48173,"NA","NA","NA"
2024,45140,"Tahlequah, OK","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,48729,"NA","NA","NA"
2020,45220,"Tallahassee, FL","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,385635,"NA","NA","NA"
2021,45220,"Tallahassee, FL","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,388385,"NA","NA","NA"
2022,45220,"Tallahassee, FL","cbsa",2,2,0,1,1,1,0,1,1,1,2,0.51151941727708,0.51151941727708,390992,"NA","NA","NA"
2023,45220,"Tallahassee, FL","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,395143,"NA","NA","NA"
2024,45220,"Tallahassee, FL","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,397675,"NA","NA","NA"
2020,45300,"Tampa-St. Petersburg-Clearwater, FL","cbsa",2,1,2,0,2,0,0,0,2,0,2,0.062747499669007,0.0313737498345035,3187378,"NA","NA","NA"
2021,45300,"Tampa-St. Petersburg-Clearwater, FL","cbsa",3,3,2,1,3,0,0,0,2,1,3,0.0929058055908856,0.0929058055908856,3229077,"NA","NA","NA"
2022,45300,"Tampa-St. Petersburg-Clearwater, FL","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.0303883940645389,0.0303883940645389,3290730,"NA","NA","NA"
2023,45300,"Tampa-St. Petersburg-Clearwater, FL","cbsa",3,3,1,3,4,0,0,0,1,3,4,0.0889131786520644,0.0889131786520644,3374078,"NA","NA","NA"
