"year","geoid","name","geography_level","road_rage_incidents","road_rage_shootings","victims_killed","victims_injured","victims_shot","suspects_killed","suspects_injured","suspects_shot","total_killed","total_injured","total_shot","incident_rate_100k","shooting_rate_100k","population","state_code","region","division"
2023,44420,"Staunton-Stuarts Draft, VA","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,127269,"NA","NA","NA"
2024,44420,"Staunton-Stuarts Draft, VA","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.778325199834995,0.778325199834995,128481,"NA","NA","NA"
2020,44700,"Stockton, CA","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,780558,"NA","NA","NA"
2021,44700,"Stockton, CA","cbsa",2,0,0,0,0,0,0,0,0,0,0,0.253762021975791,0,788140,"NA","NA","NA"
2022,44700,"Stockton, CA","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.12606699956759,0.12606699956759,793229,"NA","NA","NA"
2023,44700,"Stockton-Lodi, CA","cbsa",3,3,1,3,4,0,0,0,1,3,4,0.372250465002873,0.372250465002873,805909,"NA","NA","NA"
2024,44700,"Stockton-Lodi, CA","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.122532802031104,0.122532802031104,816108,"NA","NA","NA"
2020,44940,"Sumter, SC","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,136309,"NA","NA","NA"
2021,44940,"Sumter, SC","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,135806,"NA","NA","NA"
2022,44940,"Sumter, SC","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.741152492125255,0.741152492125255,134925,"NA","NA","NA"
2023,44940,"Sumter, SC","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,104410,"NA","NA","NA"
2024,44940,"Sumter, SC","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,104776,"NA","NA","NA"
2020,45060,"Syracuse, NY","cbsa",1,0,0,0,0,0,0,0,0,0,0,0.151587959671539,0,659683,"NA","NA","NA"
2021,45060,"Syracuse, NY","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,657615,"NA","NA","NA"
2022,45060,"Syracuse, NY","cbsa",0,0,0,0,0,0,0,0,0,0,0,0,0,653633,"NA","NA","NA"
2023,45060,"Syracuse, NY","cbsa",1,1,0,1,1,0,0,0,0,1,1,0.15284279965213,0.15284279965213,654267,"NA","NA","NA"
