"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12","2025-M01","2025-M02","2025-M03","2025-M04"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Рис","Місячна","51.28","51.65","51.48","51.53","51.98","52.32","53.14","53.82","54.37","55.23","55.65","56.11","56.2","56.18","55.83","55.25"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Хліб пшеничний з борошна вищого ґатунку","Місячна","44.07","44.44","44.89","45.31","45.76","46.36","47.54","48.5","48.94","49.9","50.98","51.91","53.7","54.27","54.86","56.05"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Хліб пшеничний з борошна першого ґатунку","Місячна","35.72","35.94","36.38","36.64","36.76","37.09","38.35","39.59","40.03","40.81","41.29","42.52","43.42","43.69","44.25","45.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Хліб житній, житньо-пшеничний","Місячна","37.41","37.36","37.54","37.67","37.95","38.37","39.95","40.93","41.76","42.67","43.81","45.12","45.45","45.64","46.15","46.56"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Батон","Місячна","23.04","23.13","23.28","23.43","23.63","23.98","24.6","25.39","26","26.26","26.94","27.78","28.46","28.62","28.96","28.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Макаронні вироби з м’яких сортів пшениці","Місячна","29.89","29.95","29.96","29.94","29.84","29.8","30.16","31.35","32.6","32.88","33.33","33.77","33.95","34.87","35.11","35.52"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Борошно пшеничне","Місячна","15.69","15.79","15.68","15.52","15.56","15.95","16.52","17.21","18.15","18.66","19.21","19.93","20.43","20.73","21.34","21.36"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи манні","Місячна","21.27","21.53","21.88","21.86","21.91","22.27","22.51","22.66","23.24","23.98","25.15","26.31","27.27","27.66","28.12","28.19"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи гречані","Місячна","28.87","27.97","27.36","26.36","26.83","28.26","29.67","29.6","29.79","30.98","33.4","35.19","35.4","35.63","35.88","35.92"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи ячні","Місячна","15.51","15.49","15.4","15.31","15.31","15.61","16.28","17.02","17.78","18.76","19.01","19.9","20.61","21.23","21.61","21.86"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Пшоно","Місячна","25.41","25.07","24.68","24.37","24.14","24.3","24.62","24.26","24.25","24.67","25.35","25.41","25.55","25.75","25.91","25.9"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Крупи пшеничні","Місячна","17.16","16.71","16.6","16.42","16.34","16.93","17.75","17.95","18.23","18.8","19.22","20.18","20.67","20.92","21.15","21.58"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Яловичина","Місячна","251.64","260.15","263.97","266.1","268.23","269.24","270.01","270.56","273.8","279.76","284.53","288.73","293.27","297.92","303.16","307.16"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Свинина","Місячна","184.72","179.81","177.13","177.48","179.35","175.91","177.47","182","182.74","183.61","183.31","184.76","188.05","190.23","193.68","212.72"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Птиця (тушки курячі)","Місячна","89.92","88.31","87.89","88.03","89.28","87.35","86.76","86.79","90.95","92.22","92.38","92.55","91.45","91.85","94.95","98.15"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Філе куряче","Місячна","159.8","158.03","159.66","158.9","159.83","158.04","158.62","162.86","168.26","170.31","170.97","172.42","172.09","171.83","176.09","184.29"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Ковбаси варені першого ґатунку","Місячна","169.42","169.98","167.19","169.26","171.47","171.88","170.85","173.94","172.6","178.24","175.75","180.64","178.56","182.13","185.46","188.34"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Риба морожена","Місячна","163.87","164.43","165.43","168.5","170.7","173.93","174.13","173.96","175.55","178.69","180.59","184.57","186.77","188.42","188.84","191.22"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Молоко пастеризоване жирністю до 2,6% включно","Місячна","38.15","38.7","38.98","39.41","38.65","38.73","39.01","39.4","40.13","41.62","43.71","45.64","45.89","46.25","47.15","47.71"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сири м’які жирні","Місячна","181.13","185.9","185.06","186.29","185.93","187.58","188.06","189.01","193.94","201.24","209.35","217.36","221.2","225.99","226.94","225.46"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сметана жирністю до 15% включно","Місячна","106.34","107.25","108.2","110.18","110.08","110.24","110.49","112.39","116.48","119.61","124.99","130.85","135.46","136.95","136.4","137.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Яйця","Місячна","51.02","49.6","41.54","33.45","28.55","32.97","29.28","31.44","35.27","41.78","65.05","64.24","49.39","51.14","60.74","59.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Масло вершкове","Місячна","75.65","77.91","78.61","79.5","79.92","80.53","81.14","82.1","84.99","91.51","96.81","102.23","105.34","106.43","107.81","107.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Олія соняшникова","Місячна","58.89","58.33","57.27","57.84","57.98","58.76","60.45","61.52","62.97","65.02","68.6","72.73","75.27","77.98","79.76","80.2"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сало","Місячна","174.26","173.1","169.88","167.55","164.87","161.09","160.1","160.58","161.36","163.89","165.85","166.19","166.96","167.3","166.7","167.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Яблука","Місячна","22.05","23.18","23.83","24.59","25.56","26.9","27.83","28.33","26.47","30.31","33.92","35.22","36.23","37.92","41.64","46.35"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Капуста білокачанна","Місячна","14.31","14.77","14","13.22","16.34","11.28","12.75","30.31","28.01","29.73","30.46","34.02","40.46","45.75","46.65","49.72"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Цибуля ріпчаста","Місячна","16.86","16.99","16.75","16.03","25.93","24.36","14.8","16.32","15.61","16.37","17.13","17.12","17.02","15.81","15.66","19.25"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Буряк","Місячна","16.14","17.1","16.92","17.8","25.52","32.92","20.32","14.39","14.21","16.35","17.79","19.65","21.8","22.18","23.75","27.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Морква","Місячна","14.43","14.19","12.78","12.06","16.61","29.75","22.37","15.46","16.65","21.52","26.98","28.59","32.41","34.37","36.94","38.96"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Картопля","Місячна","21.46","22.75","22.73","22.45","24.53","28.39","20.08","19.73","20.67","25.85","29.79","29.74","30.09","29.87","30.12","30.63"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Цукор","Місячна","32.23","31.43","30.66","29.92","30.07","31.04","34.78","35.66","35.09","33.55","33.12","33.16","33.06","32.92","33.04","33.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Молочні суміші для дитячого харчування","Місячна","143.17","143.43","143.94","144.88","146.21","147.34","147.54","148.99","146.52","148.52","147.94","148.54","149.42","149.99","153.38","155.03"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Горілка","Місячна","117.97","117.77","117.41","115.87","115.75","115.4","115.1","116.83","116.52","116.98","116.93","116.45","116.99","118.73","119.87","118.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Вина столові вітчизняні","Місячна","111.29","110.5","110.04","109.97","109.18","111.18","112.06","110.47","110.41","112.93","113.46","113.87","116.07","115.72","117.03","118.57"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Пиво вітчизняних марок","Місячна","31.8","31.89","31.65","31.92","31.93","31.96","32.61","32.56","33.22","33.59","33.86","34","34.3","34.24","34.95","35.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сигарети з фільтром вітчизняних марок","Місячна","76.17","76.6","76.96","77.41","78.45","79.95","81.57","84.14","86.76","89.52","91.15","92.62","95.08","96.79","99.6","102.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сигарети з фільтром медіум класу","Місячна","82.31","83.5","84.86","85.92","87.14","88.71","89.96","90.76","93.5","96.16","98.28","101.8","104.3","106.54","108.58","111.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сигарети з фільтром преміум класу","Місячна","97.75","100.14","101.41","103.14","104.72","106.07","107.01","108.33","110.81","113.69","116.1","118.69","121.86","124.21","127.96","131.25"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Сигарети без фільтру","Місячна","","","","","","","","","","","","","","","",""
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Плата за оренду 1-кімнатної квартири","Місячна","6817.78","6819.25","6850.7","6879.83","6942.29","6931.77","6915.83","6961.82","7098","7148.91","7202.56","7219.57","7326.11","7382.52","7413.19","7446.44"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Антибіотики вітчизняні","Місячна","53.75","53.83","54.22","54.7","55.59","56.1","56.46","57.54","58.7","60.09","61.76","63.16","65.77","68.33","70.02","70.65"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Антибіотики імпортні","Місячна","195.61","197.05","200.33","207.26","215.84","219.08","220.65","225.32","226.85","229.59","232.86","247.09","269.15","273.25","284.08","283.28"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Судинорозширювальні засоби вітчизняні","Місячна","15.47","15.62","15.76","16.03","16.23","16.3","16.33","16.34","16.52","16.69","16.8","17.18","17.78","18.01","18.05","18.03"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Судинорозширювальні засоби імпортні","Місячна","70.81","71.26","72.12","72.8","73.43","74.26","75.15","76","77.5","78.54","78.64","79.49","81.03","81.79","83.32","82.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Жарознижувальні та знеболювальні препарати вітчизняні","Місячна","20.95","21.06","21.61","22.21","22.56","22.52","22.53","22.61","22.92","23.37","23.91","24.95","25.91","26.22","25.79","26.09"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Жарознижувальні та знеболювальні препарати імпортні","Місячна","27.64","27.87","28.46","28.93","29.3","29.11","29.17","29.44","29.24","29.77","30.1","31.2","31.83","32.53","34.15","33.81"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Стоматологічні послуги","Місячна","982.07","995.22","1013.76","1028.71","1040.95","1053.43","1057.75","1064.8","1101.92","1115.56","1125.05","1161.36","1232.45","1243.43","1253.47","1264.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Бензин А-92","Місячна","47.51","47.56","48.97","51.08","51.96","52.65","53.14","53.03","53.34","53.3","52.84","52.6","53.34","53.52","53.06","52.29"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Бензин А-95","Місячна","51.02","51.01","52.28","54.44","55.89","56.3","56.57","56.62","56.65","56.44","55.56","55.45","56.42","56.91","56.35","55.03"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Дизельне пальне","Місячна","51.15","51.22","52.46","54.34","53.33","52.65","52.79","52.92","52.87","52.58","52.09","52.24","54.06","55.27","54.93","53.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Газ скраплений для автомобілів","Місячна","28.43","26.99","27.88","27.96","26.92","26.54","26.87","28.07","30.84","34.16","35.02","35.43","36.46","37.07","36.78","35.65"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Проїзд у міському транспорті","Місячна","9.09","9.09","9.16","9.31","9.31","9.35","9.49","9.62","9.73","9.73","9.73","10.26","10.58","10.59","11.09","11.18"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Дошкільна освіта","Місячна","53.87","54.12","54.31","54.35","54.55","54.84","54.97","54.99","56.43","56.63","56.7","56.78","58.11","58.54","58.6","59.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Україна","Послуги у сфері страхування особистого транспорту","Місячна","1912.79","1939.58","1950.68","1999.68","2061.44","2095.1","2089.13","2104.05","2101.6","2137.91","2166.97","2188.78","4619.68","4599.23","4632.49","4696.14"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Рис","Місячна","49.08","48.2","48.71","48.92","49.2","49.44","51.27","51.27","52.32","52.23","52.6","52.79","54.33","54.73","54.73","54.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Хліб пшеничний з борошна вищого ґатунку","Місячна","40.56","40.82","40.59","40.63","41.02","41.57","43.52","44.09","44.94","47","47.52","48.97","51.33","51.98","53.5","52.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Хліб пшеничний з борошна першого ґатунку","Місячна","39","39.43","39.43","39.05","39.35","40.75","41.9","43.11","43.97","43.97","44.89","47","48.58","49.01","49.37","49.68"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Хліб житній, житньо-пшеничний","Місячна","35.2","35.35","35.35","35","35.49","36.76","38.19","39.1","40.25","40.59","41.31","42.93","45.38","45.74","47.13","47.59"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Батон","Місячна","25.04","25.04","24.96","25.14","25.17","26.04","26.09","26.51","26.73","26.91","27.3","28.41","31.74","31.79","32.18","32.24"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Макаронні вироби з м’яких сортів пшениці","Місячна","30.1","30.57","30.51","30.72","31.05","31.43","32.42","33","33.1","33.2","33.17","33.45","33.62","33.83","34.28","34.28"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Борошно пшеничне","Місячна","15.54","15.62","15.51","15.51","15.45","16.01","16.62","17.48","18.4","18.93","19.79","20.61","21.11","21.02","21.45","21.56"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Крупи манні","Місячна","20","20.51","20.6","20.66","20.66","20.78","20.84","21.16","21.92","23.06","24.4","25.13","25.04","25.26","25.26","25.38"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Крупи гречані","Місячна","27.21","26.38","24.91","25.41","26.06","27.76","29.25","28.58","29.17","31.17","34.76","35.81","35.77","34.89","35.44","34.49"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Крупи ячні","Місячна","13.94","14.18","13.79","13.99","14.18","14.57","14.83","15.38","15.78","16.31","17.36","18.13","18.56","19.1","19.49","19.77"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Пшоно","Місячна","23.52","23.48","22.77","22.43","22.98","23.36","23.32","23.83","24.09","24.22","24.03","23.9","24.1","23.86","24.05","23.75"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Крупи пшеничні","Місячна","13.23","13.54","13.34","13.36","13.28","14.7","15.95","16.76","16.88","17.25","17.94","18.14","18.43","18.23","19.22","19.53"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Яловичина","Місячна","246.72","250.53","253.78","258.78","264.98","269.34","269.59","266.46","275.87","282.45","286.67","285.63","293.32","297.65","300.45","305.33"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Свинина","Місячна","177","167.88","165.91","164.18","163.08","160.69","161.16","168.43","168.57","168.44","169.19","174.15","176.71","174.4","175.15","195.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Птиця (тушки курячі)","Місячна","90.23","91.07","89.92","91.18","90.54","90.97","90.59","90.89","92.57","95.92","93.74","93.71","94.08","94.05","96.14","97.87"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Філе куряче","Місячна","160.77","154.26","160.5","164.26","163.51","162.03","157.9","160.26","165.55","171.54","171.32","171.97","173.04","172.98","173.49","177.76"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Ковбаси варені першого ґатунку","Місячна","185.37","187.23","189.51","187.97","190.33","190.33","191.95","191.95","190.25","191.67","196.75","196.75","214.51","215.38","217.67","219.31"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Риба морожена","Місячна","169.61","168.67","169.55","170.59","169.28","171.55","173.82","174.67","174.59","179.3","181.25","184.56","183.48","187.34","188.33","190.92"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Молоко пастеризоване жирністю до 2,6% включно","Місячна","38.99","38.53","38.93","39.48","39.61","38.31","39.33","40.28","40.83","40.88","44.08","45.47","46.75","48.75","47.86","47.72"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Сири м’які жирні","Місячна","183.67","187.79","188.08","188.98","191.78","191.65","190.86","193.97","195.64","203.12","208.91","222.28","229.02","228.95","232.07","234.14"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Сметана жирністю до 15% включно","Місячна","113.75","116.49","118.3","119.79","117.27","119.62","118.77","116.58","119.15","123.93","130.31","143.66","148.23","150.7","154.76","153.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Яйця","Місячна","47.77","45.7","36.37","29.12","25.95","31.96","28.1","29.67","34.85","43.5","63.95","61.87","47.34","47.12","60.75","56.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Масло вершкове","Місячна","78.9","81.55","82.64","82.95","84.23","84.03","84.62","85.05","86.54","92.34","96.56","101.03","108.48","112.45","113.91","113.61"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Олія соняшникова","Місячна","63.07","60.84","59.1","59.24","60.19","60.63","61.44","63.1","63.2","67.08","71.35","73.13","77.26","79.21","80.65","81.18"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Сало","Місячна","153.13","153.13","151.31","149.32","146.67","141.72","138.8","138.8","138.8","140.31","140.31","140.92","139.78","139.78","139.78","139.78"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Яблука","Місячна","17.6","18.93","19.78","21.3","24.21","25.4","27.37","28.2","27.37","28.47","31.14","31.85","34.35","34.77","36.63","40.32"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Капуста білокачанна","Місячна","12.83","12.81","12.59","12.3","15.49","10.67","12.8","24.22","27.66","28.81","29.38","34.12","39.59","45.72","47.71","52.09"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Цибуля ріпчаста","Місячна","16.92","16.64","16.03","15.34","27.46","27.05","14.23","15.65","15.21","15.86","17.56","17.04","17.06","16.09","16.03","19.02"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Буряк","Місячна","15.69","16.98","16.53","17.78","25.66","31.93","19.09","15.23","14.46","15.99","18.26","19.5","20.53","21.86","24.85","27.6"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Морква","Місячна","14.72","14.59","13.48","13.05","18.84","31.81","24.09","17.69","17.72","22.25","28.63","28.51","31.76","33.75","38.09","41.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Картопля","Місячна","19.27","21.32","19.14","19.37","20.47","25.58","18.87","18.12","19.08","23.39","27.22","27.69","27.82","27.95","28.51","28.72"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Цукор","Місячна","30.29","29.89","28.63","28.11","28.38","30.56","35.13","35.42","34.35","32.19","31.78","31.69","31.12","31.27","31.19","31.94"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Молочні суміші для дитячого харчування","Місячна","138.7","138.7","138.25","137.76","137.76","137.84","138.8","139.39","140.48","140.48","140.48","140.9","140.9","142.3","142.72","142.72"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Горілка","Місячна","118.18","118.13","117.01","115.68","115.99","111.14","113.46","114.03","119.35","118.66","118.89","115.68","118.44","120.04","122.17","121.45"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Вина столові вітчизняні","Місячна","109.13","108.56","108.66","108.35","108.7","106.56","106.56","105.57","106.33","106.86","107.2","104.58","116.39","115.77","114.39","116.88"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Пиво вітчизняних марок","Місячна","32.96","32.66","32.71","32.49","32.65","31.64","32.37","33.15","33","33.84","33.95","33.97","35.41","34.73","35.39","36.08"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Сигарети з фільтром вітчизняних марок","Місячна","73.59","73.84","74.36","76.21","77.23","78.73","80.45","81.68","85.24","87.23","88.23","89.24","91.49","92.95","96.73","98.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Сигарети з фільтром медіум класу","Місячна","83.14","83.54","84.33","85.31","85.71","86.85","88.45","90.52","92.56","95.13","98.48","102.92","102.92","104.85","108.68","110.73"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Сигарети з фільтром преміум класу","Місячна","95.37","97.22","98.71","101.98","103.58","105.93","106.5","108.55","109.57","112.57","115.54","117.5","118.46","121.96","125.92","127.98"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Сигарети без фільтру","Місячна","","","","","","","","","","","","","","","",""
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Плата за оренду 1-кімнатної квартири","Місячна","6333.83","6480.07","6532.15","6626.29","6835.03","6934.57","7034.52","7222.09","7322.92","7421.36","7577.07","7686.27","7904.77","8056.16","8056.16","8111.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Антибіотики вітчизняні","Місячна","52.12","51.86","53.04","53.35","55.28","55.35","54.66","54.51","55.41","57.01","57.92","58.38","64.01","64.38","68.1","70.67"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Антибіотики імпортні","Місячна","208.74","208.33","211.02","241.59","248.76","253.88","255.49","260.33","262.49","262.41","261.89","278.76","297.92","297.82","284.7","280.02"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Судинорозширювальні засоби вітчизняні","Місячна","14.06","14.08","14.2","14.36","14.54","14.46","14.6","14.69","14.68","14.92","14.95","15.39","16.76","16.79","16.85","16.82"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Судинорозширювальні засоби імпортні","Місячна","67.93","68.81","70.17","70.39","71.31","71.82","71.75","73.85","75.34","76.18","77.26","77.9","80.91","80.67","81.1","81.68"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Жарознижувальні та знеболювальні препарати вітчизняні","Місячна","20.58","20.74","21.61","22.18","22.48","22.24","22.03","22","22.08","22.63","23.56","24.66","24.84","26.57","26.36","26.55"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Жарознижувальні та знеболювальні препарати імпортні","Місячна","27.7","28.41","28.82","29.69","29.7","30.12","30.23","30.85","30.52","31.65","31.6","31.93","31.91","32.99","35.5","34.57"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Стоматологічні послуги","Місячна","819.05","819.05","819.05","837.53","837.53","864.63","864.63","864.63","872.91","898.39","898.39","951.59","1011.76","1011.76","1011.76","1011.76"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Бензин А-92","Місячна","46.56","47.14","48.49","50.58","52.26","53.09","53.63","53.3","52.56","52.56","52.04","51.57","52.34","52.95","52.49","51.39"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Бензин А-95","Місячна","49","49.43","50.73","52.92","54.7","55.21","55.82","55.51","55.4","55.28","54.6","54.18","55.25","56.16","55.62","54.23"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Дизельне пальне","Місячна","50.03","49.99","51.76","53.34","52.15","51.71","52.21","51.82","51.51","51.42","50.87","51.52","52.68","54.4","54.41","53.3"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Газ скраплений для автомобілів","Місячна","27.95","26.53","27.64","27.65","26.71","26.34","26.65","27.99","30.83","33.97","35","35.55","36.46","37.32","37.25","36.24"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Проїзд у міському транспорті","Місячна","9.16","9.16","9.16","9.16","9.16","9.16","9.16","9.16","9.16","9.16","9.16","11.23","12.93","12.93","12.93","12.93"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Дошкільна освіта","Місячна","48","48","48","48","48","48","48","48","48","48","48","48","51","51","51","51"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Вінницька","Послуги у сфері страхування особистого транспорту","Місячна","1571.01","1596.08","1578.13","1620.98","1745.64","1722.5","1722.5","1722.5","1749.97","1819.17","1836.8","1836.8","3723.66","3693.77","3799.6","4006.89"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Рис","Місячна","51.6","49.6","48.8","52.25","51.45","53.28","53.15","55.51","57.06","57.19","56.43","56.69","55.76","58.19","57.4","57.17"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Хліб пшеничний з борошна вищого ґатунку","Місячна","43.98","44.38","44.38","44.83","44.83","45.53","46.29","48.42","48.74","49.67","51.67","51.95","52.55","52.55","54.57","54.57"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Хліб пшеничний з борошна першого ґатунку","Місячна","36.91","37.28","36.91","36.91","36.91","37.21","38.5","38.5","39.04","40.14","41.36","42.01","42.83","42.83","42.83","44.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Хліб житній, житньо-пшеничний","Місячна","33.24","33.03","33.23","33.79","33.81","34.13","35.5","36.24","36.37","37.93","38.35","39.52","39.91","40.29","40.65","44.92"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Батон","Місячна","23.92","25.15","25.34","25.88","25.88","25.88","26.55","27.03","28.37","29.97","30.67","31.82","32.13","32.13","32.73","33.41"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Макаронні вироби з м’яких сортів пшениці","Місячна","26.29","26.39","26.43","25.77","27.04","26.24","27.59","28.64","29.46","29.39","29.64","30.48","30.67","30.59","30.58","30.77"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Борошно пшеничне","Місячна","14.09","14.38","14.41","13.84","13.92","15.29","15.93","16.3","17.06","18.12","18.94","19.24","19.88","20.64","21.35","21.4"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Крупи манні","Місячна","21.03","21.75","21.52","21.09","21.83","21.92","23.07","23.12","23.97","26.11","25.96","27.71","29.95","30.53","30.18","30.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Крупи гречані","Місячна","25.37","25.04","24.56","24.2","24.97","25.97","27.54","27.55","26.67","27.17","28.61","32.37","32.51","33.32","32.96","32.8"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Крупи ячні","Місячна","13.54","13.45","13.31","13.4","13.36","13.71","14.67","15.55","16.32","17.43","17.52","17.39","18.86","20.56","20.56","20.56"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Пшоно","Місячна","21.71","21.95","21.73","21.3","21.31","21.86","23.43","21.46","21.29","23.12","24.26","23.75","23.75","23.55","23.48","22.95"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Волинська","Крупи пшеничні","Місячна","12.63","12.35","11.97","12.02","12.15","13.07","14.48","15.18","15.72","15.74","15.97","17.48","17.46","18.65","20.01","19.21"
